Crop,State,Year,Season,Area,Production,Yield,T_Jan,T_Feb,T_Mar,T_Apr,T_May,T_Jun,T_Jul,T_Aug,T_Sep,T_Oct,T_Nov,T_Dec,T_Summer,T_Monsoon,T_Post Monsoon,T_Winter,T_Annual,R_JAN,R_FEB,R_MAR,R_APR,R_MAY,R_JUN,R_JUL,R_AUG,R_SEP,R_OCT,R_NOV,R_DEC,R_ANNUAL,R_JF,R_MAM,R_JJAS,R_OND
Jowar,Madhya Pradesh,2021,Kharif,1.23,0.9,1.63,17.22312780869924,19.255247990105133,22.98274726860441,26.273752834467118,28.074714079571226,27.890907441764583,26.52666542980829,26.100772211915064,25.869818800247376,24.49518387961245,21.229551226551227,18.220441352298497,25.777116676973822,26.598315398886825,21.315041847041847,18.241270253555967,23.679311482168625,22.79231879231879,28.213392163392164,38.8526529026529,59.58245643245643,114.50925185925186,307.2646436896437,457.3278166278166,390.80453990454,259.3809190809191,124.4098484848485,53.2284077034077,25.5478243978244,1878.2760434010436,50.99535187035187,212.94405039405035,1414.5992451992454,203.18144355644355
Jowar,Madhya Pradesh,2021,Rabi,0.0,5.1170175438596495,877.7845614035087,17.22312780869924,19.255247990105133,22.98274726860441,26.273752834467118,28.074714079571226,27.890907441764583,26.52666542980829,26.100772211915064,25.869818800247376,24.49518387961245,21.229551226551227,18.220441352298497,25.777116676973822,26.598315398886825,21.315041847041847,18.241270253555967,23.679311482168625,22.79231879231879,28.213392163392164,38.8526529026529,59.58245643245643,114.50925185925186,307.2646436896437,457.3278166278166,390.80453990454,259.3809190809191,124.4098484848485,53.2284077034077,25.5478243978244,1878.2760434010436,50.99535187035187,212.94405039405035,1414.5992451992454,203.18144355644355
Jowar,Madhya Pradesh,2022,Kharif,0.97,2.36,1.81,17.22312780869924,19.255247990105133,22.98274726860441,26.273752834467118,28.074714079571226,27.890907441764583,26.52666542980829,26.100772211915064,25.869818800247376,24.49518387961245,21.229551226551227,18.220441352298497,25.777116676973822,26.598315398886825,21.315041847041847,18.241270253555967,23.679311482168625,22.79231879231879,28.213392163392164,38.8526529026529,59.58245643245643,114.50925185925186,307.2646436896437,457.3278166278166,390.80453990454,259.3809190809191,124.4098484848485,53.2284077034077,25.5478243978244,1878.2760434010436,50.99535187035187,212.94405039405035,1414.5992451992454,203.18144355644355
Jowar,Madhya Pradesh,2022,Rabi,6.169473684210526,0.0,877.7845614035087,17.22312780869924,19.255247990105133,22.98274726860441,26.273752834467118,28.074714079571226,27.890907441764583,26.52666542980829,26.100772211915064,25.869818800247376,24.49518387961245,21.229551226551227,18.220441352298497,25.777116676973822,26.598315398886825,21.315041847041847,18.241270253555967,23.679311482168625,22.79231879231879,28.213392163392164,38.8526529026529,59.58245643245643,114.50925185925186,307.2646436896437,457.3278166278166,390.80453990454,259.3809190809191,124.4098484848485,53.2284077034077,25.5478243978244,1878.2760434010436,50.99535187035187,212.94405039405035,1414.5992451992454,203.18144355644355
Jowar,Madhya Pradesh,2023,Kharif,0.87,1.69,1919.0,17.22312780869924,19.255247990105133,22.98274726860441,26.273752834467118,28.074714079571226,27.890907441764583,26.52666542980829,26.100772211915064,25.869818800247376,24.49518387961245,21.229551226551227,18.220441352298497,25.777116676973822,26.598315398886825,21.315041847041847,18.241270253555967,23.679311482168625,22.79231879231879,28.213392163392164,38.8526529026529,59.58245643245643,114.50925185925186,307.2646436896437,457.3278166278166,390.80453990454,259.3809190809191,124.4098484848485,53.2284077034077,25.5478243978244,1878.2760434010436,50.99535187035187,212.94405039405035,1414.5992451992454,203.18144355644355
Jowar,Madhya Pradesh,2023,Rabi,6.169473684210526,5.1170175438596495,0.0,17.22312780869924,19.255247990105133,22.98274726860441,26.273752834467118,28.074714079571226,27.890907441764583,26.52666542980829,26.100772211915064,25.869818800247376,24.49518387961245,21.229551226551227,18.220441352298497,25.777116676973822,26.598315398886825,21.315041847041847,18.241270253555967,23.679311482168625,22.79231879231879,28.213392163392164,38.8526529026529,59.58245643245643,114.50925185925186,307.2646436896437,457.3278166278166,390.80453990454,259.3809190809191,124.4098484848485,53.2284077034077,25.5478243978244,1878.2760434010436,50.99535187035187,212.94405039405035,1414.5992451992454,203.18144355644355
Jowar,Maharashtra,1966,Kharif,26.78,14.08,526.0,17.350285714285715,20.26,22.77057142857143,26.146571428571427,28.16142857142857,27.548857142857145,26.81657142857143,26.020857142857142,25.419714285714285,23.991142857142854,21.24742857142857,17.56114285714286,25.69342857142857,26.45342857142857,20.934,18.807714285714287,23.60885714285714,19.534615384615385,27.134615384615383,24.084615384615383,43.56153846153846,103.66923076923078,295.5,433.1115384615384,325.3192307692307,240.27307692307693,104.4076923076923,94.68076923076924,37.83076923076923,1749.076923076923,46.67307692307692,171.29615384615383,1294.2076923076925,236.92307692307693
Jowar,Maharashtra,1966,Rabi,34.53,18.0,521.0,17.350285714285715,20.26,22.77057142857143,26.146571428571427,28.16142857142857,27.548857142857145,26.81657142857143,26.020857142857142,25.419714285714285,23.991142857142854,21.24742857142857,17.56114285714286,25.69342857142857,26.45342857142857,20.934,18.807714285714287,23.60885714285714,19.534615384615385,27.134615384615383,24.084615384615383,43.56153846153846,103.66923076923078,295.5,433.1115384615384,325.3192307692307,240.27307692307693,104.4076923076923,94.68076923076924,37.83076923076923,1749.076923076923,46.67307692307692,171.29615384615383,1294.2076923076925,236.92307692307693
Jowar,Maharashtra,1967,Kharif,26.74,17.03,637.0,16.764857142857142,19.598,21.768285714285717,25.363714285714288,27.73057142857143,27.896285714285717,26.402,25.72742857142857,25.33342857142857,23.658,20.06457142857143,18.05,24.954,26.340857142857143,20.591428571428573,18.184,23.198,20.38076923076923,15.796153846153846,79.50384615384615,43.1,95.16923076923078,269.2153846153846,523.1538461538462,400.65,246.3153846153846,84.57307692307693,20.50769230769231,65.32692307692308,1863.6884615384613,36.17692307692308,217.7576923076923,1439.326923076923,170.40769230769232
Jowar,Maharashtra,1967,Rabi,35.73,16.9,473.0,16.764857142857142,19.598,21.768285714285717,25.363714285714288,27.73057142857143,27.896285714285717,26.402,25.72742857142857,25.33342857142857,23.658,20.06457142857143,18.05,24.954,26.340857142857143,20.591428571428573,18.184,23.198,20.38076923076923,15.796153846153846,79.50384615384615,43.1,95.16923076923078,269.2153846153846,523.1538461538462,400.65,246.3153846153846,84.57307692307693,20.50769230769231,65.32692307692308,1863.6884615384613,36.17692307692308,217.7576923076923,1439.326923076923,170.40769230769232
Jowar,Maharashtra,1968,Kharif,27.12,20.19,744.0,16.27885714285714,17.73057142857143,22.37857142857143,25.314,27.395142857142854,27.594,26.22885714285714,25.947714285714284,26.136857142857146,23.79342857142857,20.753714285714285,17.906285714285715,25.029714285714284,26.477714285714285,20.817714285714285,17.006857142857143,23.122285714285717,37.13076923076923,25.930769230769236,38.215384615384615,52.63461538461539,81.87307692307692,302.56538461538463,538.1807692307692,314.5615384615385,213.22692307692307,116.1,38.13846153846154,20.930769230769236,1779.526923076923,63.065384615384616,172.71538461538464,1368.5384615384614,175.19230769230768
Jowar,Maharashtra,1968,Rabi,35.78,15.3,428.0,16.27885714285714,17.73057142857143,22.37857142857143,25.314,27.395142857142854,27.594,26.22885714285714,25.947714285714284,26.136857142857146,23.79342857142857,20.753714285714285,17.906285714285715,25.029714285714284,26.477714285714285,20.817714285714285,17.006857142857143,23.122285714285717,37.13076923076923,25.930769230769236,38.215384615384615,52.63461538461539,81.87307692307692,302.56538461538463,538.1807692307692,314.5615384615385,213.22692307692307,116.1,38.13846153846154,20.930769230769236,1779.526923076923,63.065384615384616,172.71538461538464,1368.5384615384614,175.19230769230768
Jowar,Maharashtra,1969,Kharif,26.38,17.53,664.0,16.87057142857143,19.21485714285714,23.912285714285712,26.293142857142858,27.78428571428572,28.115714285714283,26.46314285714286,25.77857142857143,25.582571428571427,24.36885714285714,21.468857142857143,18.108857142857143,25.996,26.486857142857144,21.315142857142856,18.045428571428573,23.664285714285715,19.82307692307692,16.23076923076923,26.161538461538463,58.19230769230769,115.18076923076924,252.29615384615383,504.4423076923077,406.4,283.8269230769231,92.55,68.72307692307692,25.01923076923077,1868.85,36.073076923076925,199.54615384615383,1446.965384615385,186.3
Jowar,Maharashtra,1969,Rabi,34.53,14.62,423.0,16.87057142857143,19.21485714285714,23.912285714285712,26.293142857142858,27.78428571428572,28.115714285714283,26.46314285714286,25.77857142857143,25.582571428571427,24.36885714285714,21.468857142857143,18.108857142857143,25.996,26.486857142857144,21.315142857142856,18.045428571428573,23.664285714285715,19.82307692307692,16.23076923076923,26.161538461538463,58.19230769230769,115.18076923076924,252.29615384615383,504.4423076923077,406.4,283.8269230769231,92.55,68.72307692307692,25.01923076923077,1868.85,36.073076923076925,199.54615384615383,1446.965384615385,186.3
Jowar,Maharashtra,1970,Kharif,24.73,8.75,354.0,17.038285714285717,18.81942857142857,22.560285714285715,26.588857142857144,28.36657142857143,27.193142857142856,26.41171428571429,25.82542857142857,25.58342857142857,24.269142857142857,20.269714285714286,17.404857142857143,25.83857142857143,26.254571428571428,20.64857142857143,17.930857142857143,23.36142857142857,33.496153846153845,37.75384615384616,29.734615384615385,48.40384615384615,132.54999999999998,365.0807692307693,443.9307692307693,489.9846153846154,321.25,130.86923076923077,40.78846153846154,10.776923076923076,2084.665384615385,71.24230769230769,210.6807692307692,1620.2692307692307,182.4576923076923
Jowar,Maharashtra,1970,Rabi,33.11,7.17,216.0,17.038285714285717,18.81942857142857,22.560285714285715,26.588857142857144,28.36657142857143,27.193142857142856,26.41171428571429,25.82542857142857,25.58342857142857,24.269142857142857,20.269714285714286,17.404857142857143,25.83857142857143,26.254571428571428,20.64857142857143,17.930857142857143,23.36142857142857,33.496153846153845,37.75384615384616,29.734615384615385,48.40384615384615,132.54999999999998,365.0807692307693,443.9307692307693,489.9846153846154,321.25,130.86923076923077,40.78846153846154,10.776923076923076,2084.665384615385,71.24230769230769,210.6807692307692,1620.2692307692307,182.4576923076923
Jowar,Maharashtra,1971,Kharif,22.86,10.9,477.0,16.600285714285715,18.491714285714288,22.364,25.94257142857143,27.114571428571427,26.647142857142857,25.82171428571429,25.35371428571429,25.49142857142857,23.84171428571429,20.05485714285714,17.45657142857143,25.14085714285714,25.82942857142857,20.450285714285712,17.548,22.932285714285715,23.884615384615383,30.557692307692307,17.18846153846154,80.21538461538461,150.4576923076923,408.75384615384615,437.3346153846154,413.9538461538461,242.27307692307693,161.58076923076925,31.207692307692305,24.503846153846155,2021.896153846154,54.44230769230769,247.87692307692308,1502.3000000000002,217.29615384615383
Jowar,Maharashtra,1971,Rabi,38.83,8.42,217.0,16.600285714285715,18.491714285714288,22.364,25.94257142857143,27.114571428571427,26.647142857142857,25.82171428571429,25.35371428571429,25.49142857142857,23.84171428571429,20.05485714285714,17.45657142857143,25.14085714285714,25.82942857142857,20.450285714285712,17.548,22.932285714285715,23.884615384615383,30.557692307692307,17.18846153846154,80.21538461538461,150.4576923076923,408.75384615384615,437.3346153846154,413.9538461538461,242.27307692307693,161.58076923076925,31.207692307692305,24.503846153846155,2021.896153846154,54.44230769230769,247.87692307692308,1502.3000000000002,217.29615384615383
Jowar,Maharashtra,1972,Kharif,24.09,8.66,359.0,17.078,17.444857142857146,22.79942857142857,25.454571428571427,28.24685714285714,28.42428571428572,26.831714285714288,25.94342857142857,25.601714285714287,24.11342857142857,20.77342857142857,18.260285714285715,25.50057142857143,26.70142857142857,21.04857142857143,17.262857142857143,23.416,11.78076923076923,34.26153846153846,23.42692307692308,59.33846153846154,111.4923076923077,241.95384615384617,366.9923076923077,315.7807692307692,201.02307692307693,114.3423076923077,59.83076923076923,33.892307692307696,1574.0961538461538,46.034615384615385,194.2653846153846,1125.746153846154,208.06153846153848
Jowar,Maharashtra,1972,Rabi,25.85,3.8,147.0,17.078,17.444857142857146,22.79942857142857,25.454571428571427,28.24685714285714,28.42428571428572,26.831714285714288,25.94342857142857,25.601714285714287,24.11342857142857,20.77342857142857,18.260285714285715,25.50057142857143,26.70142857142857,21.04857142857143,17.262857142857143,23.416,11.78076923076923,34.26153846153846,23.42692307692308,59.33846153846154,111.4923076923077,241.95384615384617,366.9923076923077,315.7807692307692,201.02307692307693,114.3423076923077,59.83076923076923,33.892307692307696,1574.0961538461538,46.034615384615385,194.2653846153846,1125.746153846154,208.06153846153848
Jowar,Maharashtra,1973,Kharif,27.5,12.93,470.0,17.270857142857142,19.84257142857143,22.550571428571427,27.246285714285715,28.240285714285715,27.88742857142857,26.498,25.683714285714284,25.61657142857143,24.024285714285718,20.349714285714285,17.211142857142857,26.012285714285717,26.422571428571427,20.52771428571429,18.558857142857143,23.53542857142857,24.16923076923077,28.246153846153845,24.615384615384617,42.51153846153846,109.1846153846154,291.4307692307692,420.29615384615386,454.1692307692308,263.6,174.14615384615385,44.82692307692308,35.83461538461539,1913.026923076923,52.4076923076923,176.32692307692307,1429.4769230769232,254.8
Jowar,Maharashtra,1973,Rabi,33.53,15.43,460.0,17.270857142857142,19.84257142857143,22.550571428571427,27.246285714285715,28.240285714285715,27.88742857142857,26.498,25.683714285714284,25.61657142857143,24.024285714285718,20.349714285714285,17.211142857142857,26.012285714285717,26.422571428571427,20.52771428571429,18.558857142857143,23.53542857142857,24.16923076923077,28.246153846153845,24.615384615384617,42.51153846153846,109.1846153846154,291.4307692307692,420.29615384615386,454.1692307692308,263.6,174.14615384615385,44.82692307692308,35.83461538461539,1913.026923076923,52.4076923076923,176.32692307692307,1429.4769230769232,254.8
Jowar,Maharashtra,1974,Kharif,25.62,20.81,812.0,16.42142857142857,18.36057142857143,23.14857142857143,26.535714285714285,27.55228571428572,27.563142857142857,26.171142857142858,25.961142857142857,25.740857142857145,24.63,20.55971428571429,16.89742857142857,25.74571428571429,26.360857142857142,20.69542857142857,17.39257142857143,23.296,18.484615384615385,15.0,29.21538461538461,64.37692307692308,121.19615384615383,223.98076923076923,498.1076923076923,377.0730769230769,244.10384615384612,160.81153846153848,29.16923076923077,15.042307692307691,1796.573076923077,33.473076923076924,214.7923076923077,1343.2615384615383,205.03076923076924
Jowar,Maharashtra,1974,Rabi,34.95,15.71,450.0,16.42142857142857,18.36057142857143,23.14857142857143,26.535714285714285,27.55228571428572,27.563142857142857,26.171142857142858,25.961142857142857,25.740857142857145,24.63,20.55971428571429,16.89742857142857,25.74571428571429,26.360857142857142,20.69542857142857,17.39257142857143,23.296,18.484615384615385,15.0,29.21538461538461,64.37692307692308,121.19615384615383,223.98076923076923,498.1076923076923,377.0730769230769,244.10384615384612,160.81153846153848,29.16923076923077,15.042307692307691,1796.573076923077,33.473076923076924,214.7923076923077,1343.2615384615383,205.03076923076924
